,sentences
3821,"['A', 'renal', 'biopsy', 'specimen', 'revealed', 'mesangiopathic', 'glomerulonephritis', ',', 'although', 'significant', 'levels', 'of', 'circulating', 'IgG', 'immune', 'complexes', 'were', 'not', 'detected']"
3822,"['These', 'findings', 'further', 'support', 'the', 'association', 'of', 'C3', 'deficiency', 'with', 'immune-complex', 'disease', 'and', 'suggest', 'that', 'plasma', 'infusion', 'may', 'be', 'an', 'adjunct', 'to', 'antibiotic', 'therapy', 'in', 'the', 'management', 'of', 'severe', 'pyogenic', 'infections', 'in', 'patients', 'with', 'C3', 'deficiency']"
3823,[]
3824,"['DNA', 'restriction', 'fragments', 'associated', 'with', 'alpha', '1-antitrypsin', 'indicate', 'a', 'single', 'origin', 'for', 'deficiency', 'allele', 'PI', 'Z.', 'The', 'alpha', '1-protease', 'inhibitor', ',', 'or', 'alpha-antitrypsin', '(', 'AAT', ')', ',', 'a', 'major', 'plasma', 'inhibitor', 'of', 'leukocyte', 'elastase', 'and', 'bacterial', 'proteases', ',', 'is', 'encoded', 'at', 'the', 'PI', 'locus', 'on', 'chromosome', '14', '(', '14q24']"
3825,['3-q32']
3826,"['1', ')']"
3827,"['A', 'deficiency', 'of', 'AAT', 'in', 'individuals', 'homozygous', 'for', 'the', 'PI', 'Z', 'allele', 'occurs', 'in', 'about', '1', 'in', '2', ',', '000-8', ',', '000', 'caucasians', 'and', 'is', 'associated', 'with', 'an', 'increased', 'risk', 'of', 'early', 'adult', 'onset', 'emphysema', 'and', 'liver', 'disease', 'in', 'childhood']"
3828,"['We', 'have', 'now', 'used', 'DNA', 'polymorphisms', 'associated', 'with', 'the', 'AAT', 'gene', 'to', 'investigate', 'the', 'origin', 'of', 'the', 'PI', 'Z', 'allele']"
3829,"['Using', 'two', 'genomic', 'probes', 'extending', 'into', 'the', '5', 'and', '3', 'flanking', 'regions', ',', 'respectively', ',', 'we', 'have', 'identified', 'eight', 'polymorphic', 'restriction', 'sites']"
3830,"['Extensive', 'linkage', 'disequilibrium', 'occurs', 'throughout', 'the', 'probed', 'region', 'with', 'the', 'PI', 'Z', 'allele', ',', 'but', 'not', 'with', 'normal', 'PI', 'M', 'alleles']"
3831,"['The', 'Z', 'allele', 'occurs', 'mainly', 'with', 'one', 'haplotype', ',', 'indicating', 'a', 'single', ',', 'relatively', 'recent', ',', 'origin', 'in', 'caucasians', 'Segregation', 'analysis', 'of', 'a', 'marker', 'localised', 'Xp21.2-Xp21.3', 'in', 'Duchenne', 'and', 'Becker', 'muscular', 'dystrophy', 'families.', 'A', 'DNA', 'marker', 'C7', ',', 'localised', 'Xp21']"
3832,"['1-Xp21', '1-Xp21']"
3833,"['3', ',', 'has', 'been', 'studied', 'in', 'kindreds', 'segregating', 'for', 'Duchenne', 'muscular', 'dystrophy', '(', 'DMD', ')', 'and', 'Becker', 'muscular', 'dystrophy', '(', 'BMD', ')']"
3834,"['In', 'DMD', 'families', 'four', 'crossovers', 'were', 'observed', 'in', '38', 'informative', 'meioses', 'between', 'C7', 'and', 'the', 'DMD', 'locus', '(', 'theta', '=', '0']"
3835,"['12', ',', 'z', 'max', '=', '+', '2']"
3836,"['72', ')']"
3837,"['In', 'BMD', 'families', 'no', 'recombinants', 'were', 'observed', 'in', 'the', '16', 'informative', 'meioses', 'studied']"
3838,"['These', 'data', 'are', 'consistent', 'with', 'the', 'localisation', 'of', 'the', 'mutations', 'in', 'these', 'disorders', 'being', 'in', 'the', 'same', 'region', 'of', 'Xp21']"
3839,"['Studies', 'in', 'families', 'also', 'segregating', 'for', 'the', 'DNA', 'marker', '754', 'support', 'the', 'previously', 'reported', 'physical', 'order', 'of', 'these', 'loci', 'as', 'X', 'centromere-754-DMD-BMD-C7-X', 'telomere']"
3840,"['A', 'recombination', 'fraction', 'of', '0']"
3841,"['11', '(', 'z', 'max', '=', '+', '5']"
3842,"['58', ')', 'was', 'found', 'between', 'DMD-754', 'by', 'combining', 'our', 'previously', 'published', 'data', 'with', 'the', 'data', 'presented', 'here']"
3843,"['C7', 'and', '754', 'thus', 'provide', 'good', 'bridging', 'markers', 'for', 'the', 'diagnosis', 'of', 'DMD', 'and', 'BMD', 'Isolation', 'of', 'molecular', 'probes', 'associated', 'with', 'the', 'chromosome', '15', 'instability', 'in', 'the', 'Prader-Willi', 'syndrome']"
3844,"['Flow', 'cytometry', 'and', 'recombinant', 'DNA', 'techniques', 'have', 'been', 'used', 'to', 'obtain', 'reagents', 'for', 'a', 'molecular', 'analysis', 'of', 'the', 'Prader-Willi', 'syndrome', '(', 'PWS', ')']"
3845,"['HindIII', 'total-digest', 'libraries', 'were', 'prepared', 'in', 'lambda', 'phage', 'Charon', '21A', 'from', 'flow-sorted', 'inverted', 'duplicated', 'no']"
3846,"['15', 'human', 'chromosomes', 'and', 'propagated', 'on', 'recombination-proficient', '(', 'LE392', ')', 'and', 'recBC-', ',', 'sbcB-', '(', 'DB1257', ')', 'bacteria']"
3847,"['Twelve', 'distinct', 'chromosome', '15-specific', 'probes', 'have', 'been', 'isolated']"
3848,"['Eight', 'localized', 'to', 'the', 'region', '15q11----13']"
3849,"['Four', 'of', 'these', 'eight', 'sublocalized', 'to', 'band', '15q11']"
3850,"['2', 'and', 'are', 'shown', 'to', 'be', 'deleted', 'in', 'DNA', 'of', 'one', 'of', 'two', 'patients', 'examined', 'with', 'the', 'PWS']"
3851,"['Heteroduplex', 'analysis', 'of', 'two', 'of', 'these', 'clones', ',', 'which', 'grew', 'on', 'DB1257', 'but', 'not', 'on', 'LE392', ',', 'revealed', 'stem-loop', 'structures', 'in', 'the', 'inserts', ',', 'indicative', 'of', 'inverted', ',', 'repeated', 'DNA', 'elements']"
3852,"['Such', 'DNA', 'repeats', 'might', 'account', 'for', 'some', 'of', 'the', 'cloning', 'instability', 'of', 'DNA', 'segments', 'from', 'proximal', '15q']"
3853,"['Analysis', 'of', 'the', 'genetic', 'and', 'physical', 'instability', 'associated', 'with', 'the', 'repeated', 'sequences', 'we', 'have', 'isolated', 'from', 'band', '15q11']"
3854,"['2', 'may', 'elucidate', 'the', 'molecular', 'basis', 'for', 'the', 'instability', 'of', 'this', 'chromosomal', 'region', 'in', 'patients', 'with', 'the', 'PWS', 'or', 'other', 'diseases', 'associated', 'with', 'chromosomal', 'abnormalities', 'in', 'the', 'proximal', 'long', 'arm', 'of', 'human', 'chromosome', '15', 'Analysis', 'of', 'deletions', 'in', 'DNA', 'from', 'patients', 'with', 'Becker', 'and', 'Duchenne', 'muscular', 'dystrophy']"
3855,"['Duchenne', 'muscular', 'dystrophy', '(', 'DMD', ')', 'is', 'an', 'X-linked', 'recessive', 'genetic', 'disorder', 'for', 'which', 'the', 'biochemical', 'defect', 'is', 'as', 'yet', 'unknown']"
3856,"['Recently', ',', 'two', 'cloned', 'segments', 'of', 'human', 'X-chromosome', 'DNA', 'have', 'been', 'described', 'which', 'detect', 'structural', 'alterations', 'within', 'or', 'near', 'the', 'genetic', 'locus', 'responsible', 'for', 'the', 'disorder']"
3857,"['Both', 'of', 'these', 'cloned', 'segments', 'were', 'described', 'as', 'tightly', 'linked', 'to', 'the', 'locus', 'and', 'were', 'capable', 'of', 'detecting', 'deletions', 'in', 'the', 'DNA', 'of', 'boys', 'affected', 'with', 'DMD']"
3858,"['In', 'an', 'attempt', 'to', 'determine', 'more', 'precisely', 'the', 'occurrence', 'of', 'these', 'deletions', 'within', 'a', 'large', 'population', 'of', 'DMD', 'patients', 'and', 'the', 'accuracy', 'of', 'one', 'of', 'the', 'segments', ',', 'DXS164', '(', 'pERT87', ')', ',', 'in', 'determining', 'the', 'inheritance', 'of', 'the', 'DMD', 'X', 'chromosome', ',', 'the', 'subclones', '1', ',', '8', 'and', '15', 'were', 'made', 'available', 'to', 'many', 'investigators', 'throughout', 'the', 'world']"
3859,"['Here', 'we', 'describe', 'the', 'combined', 'results', 'of', 'more', 'than', '20', 'research', 'laboratories', 'with', 'respect', 'to', 'the', 'occurrence', 'of', 'deletions', 'at', 'the', 'DXS164', 'locus', 'in', 'DNA', 'samples', 'isolated', 'from', 'patients', 'with', 'DMD', 'and', 'Becker', 'muscular', 'dystrophy', '(', 'BMD', ')']"
3860,"['The', 'results', 'indicate', 'that', 'the', 'DXS164', 'locus', 'apparently', 'recombines', 'with', 'DMD', '5', '%', 'of', 'the', 'time', ',', 'but', 'is', 'probably', 'located', 'between', 'independent', 'sites', 'of', 'mutation', 'which', 'yield', 'DMD']"
3861,"['The', 'breakpoints', 'of', 'some', 'deletions', 'are', 'delineated', 'within', 'the', 'DXS164', 'locus', ',', 'and', 'it', 'is', 'evident', 'that', 'the', 'deletions', 'at', 'the', 'DMD', 'locus', 'are', 'frequent', 'and', 'extremely', 'large']"
3862,[]
3863,"['A', 'potential', 'animal', 'model', 'for', 'Lesch-Nyhan', 'syndrome', 'through', 'introduction', 'of', 'HPRT', 'mutations', 'into', 'mice.', 'The', 'human', 'Lesch-Nyhan', 'syndrome', 'is', 'a', 'rare', 'neurological', 'and', 'behavioural', 'disorder', ',', 'affecting', 'only', 'males', ',', 'which', 'is', 'caused', 'by', 'an', 'inherited', 'deficiency', 'in', 'the', 'level', 'of', 'activity', 'of', 'the', 'purine', 'salvage', 'enzyme', 'hypoxanthine-guanosine', 'phosphoribosyl', 'transferase', '(', 'HPRT', ')']"
3864,"['How', 'the', 'resulting', 'alterations', 'in', 'purine', 'metabolism', 'lead', 'to', 'the', 'severe', 'symptoms', 'characteristic', 'of', 'Lesch-Nyhan', 'patients', 'is', 'still', 'not', 'understood']"
3865,"['No', 'mutations', 'at', 'the', 'Hprt', 'locus', 'leading', 'to', 'loss', 'of', 'activity', 'have', 'been', 'described', 'in', 'laboratory', 'animals']"
3866,"['To', 'derive', 'an', 'animal', 'model', 'for', 'the', 'Lesch-Nyhan', 'syndrome', ',', 'we', 'have', 'used', 'cultured', 'mouse', 'embryonic', 'stem', 'cells', ',', 'mutagenized', 'by', 'retroviral', 'insertion', 'and', 'selected', 'for', 'loss', 'of', 'HPRT', 'activity', ',', 'to', 'construct', 'chimaeric', 'mice']"
3867,"['Two', 'clonal', 'lines', 'carrying', 'different', 'mutant', 'Hprt', 'alleles', 'have', 'given', 'rise', 'to', 'germ', 'cells', 'in', 'chimaeras', ',', 'allowing', 'the', 'derivation', 'of', 'strains', 'of', 'mutant', 'mice', 'having', 'the', 'same', 'biochemical', 'defect', 'as', 'Lesch-Nyhan', 'patients']"
3868,"['Male', 'mice', 'carrying', 'the', 'mutant', 'alleles', 'are', 'viable', 'and', 'analysis', 'of', 'their', 'cells', 'shows', 'a', 'total', 'lack', 'of', 'HPRT', 'activity']"
3869,[]
3870,"['Re-evaluation', 'of', 'the', 'sublocalization', 'of', 'esterase', 'D', 'and', 'its', 'relation', 'to', 'the', 'retinoblastoma', 'locus', 'by', 'in', 'situ', 'hybridization.', 'In', 'situ', 'hybridization', 'of', 'a', 'cDNA', 'probe', 'for', 'the', 'esterase', 'D', 'gene', '(', 'ESD', ')', 'was', 'carried', 'out', 'on', 'human', 'chromosomes']"
3871,"['The', 'probe', 'hybridized', 'most', 'strongly', 'to', '13q14']"
3872,"['2', 'and', '13q14']"
3873,"['3', '3']"
3874,"['This', 'observation', 'raises', 'doubts', 'concerning', 'the', 'most', 'recently', 'published', 'assignment', 'of', 'ESD', 'to', '13q14']"
3875,"['1', '1']"
3876,"['A', 'deletion', 'in', 'an', 'individual', 'with', 'retinoblastoma', 'was', 'reported', 'to', 'separate', 'the', 'closely', 'linked', 'ESD', 'and', 'retinoblastoma', '(', 'RB1', ')', 'loci', ',', 'placing', 'ESD', 'proximal', 'to', 'RB1']"
3877,"['Quantitative', 'in', 'situ', 'hybridization', 'studies', 'of', 'this', 'deletion', 'do', 'not', 'confirm', 'this', 'interpretation']"
3878,"['Rather', ',', 'they', 'suggest', 'that', 'ESD', 'is', 'missing', 'from', 'the', 'deleted', 'chromosome', '13', 'and', 'duplicated', 'on', 'the', 'normal', 'homolog']"
3879,"['From', 'these', 'findings', ',', 'we', 'conclude', 'that', 'the', 'deletion', 'in', 'this', 'individual', 'cannot', 'be', 'used', 'to', 'determine', 'the', 'orientation', 'nor', 'the', 'sublocalization', 'of', 'ESD', 'and', 'RB1', 'within', 'the', '13q14', 'region']"
3880,"['Hereditary', 'C2', 'deficiency', 'associated', 'with', 'common', 'variable', 'immunodeficiency']"
3881,"['Homozygous', 'C2', 'deficiency', 'in', 'a', '19-year-old', 'boy', 'was', 'associated', 'with', 'variable', 'immunodeficiency', 'manifested', 'by', 'marked', 'hypoimmunoglobulinemia', 'and', 'impaired', 'antibody', 'responses', ',', 'normal', 'circulating', 'B', 'lymphocytes', ',', 'and', 'subnormal', 'T-cell', 'functions']"
3882,"['Neither', 'antilymphocytic', 'autoantibodies', 'nor', 'chromosomal', 'abnormalities', 'were', 'found']"
3883,"['Serum', 'immunoglobulin', 'levels', 'were', 'within', 'normal', 'limits', 'in', 'his', 'parents', 'and', 'brother', 'who', 'were', 'heterozygous', 'for', 'C2', 'deficiency']"
3884,"['The', 'patients', 'lymphocytes', 'were', 'homozygous', 'at', 'the', 'HLA-D', 'locus', 'but', 'expressed', 'an', 'antigen', 'different', 'from', 'DW2']"
3885,[]
3886,"['Mild', 'and', 'severe', 'muscular', 'dystrophy', 'associated', 'with', 'deletions', 'in', 'Xp21', 'of', 'the', 'human', 'X', 'chromosome.', 'We', 'have', 'analysed', 'over', '300', 'patients', 'suffering', 'from', 'Duchenne', 'or', 'Becker', 'muscular', 'dystrophy', '(', 'DMD', 'or', 'BMD', ')']"
3887,"['Deletions', 'have', 'been', 'characterised', 'which', 'encompass', 'either', 'the', 'pERT87', '(', 'DXS164', ')', 'locus', 'only', ',', 'the', 'XJ1']"
3888,"['1', '(', 'DXS206', ')', 'and', 'HIP25', 'loci', 'only', ',', 'or', 'all', 'three', 'loci']"
3889,"['These', 'loci', 'have', 'been', 'shown', 'to', 'lie', 'within', 'the', 'DMD', 'region', 'covering', 'several', 'hundred', 'kilobases', '(', 'kb', ')', 'of', 'DNA']"
3890,"['One', 'mildly', 'affected', 'BMD', 'patient', 'possesses', 'a', 'deletion', 'of', 'at', 'least', '110', 'kb', 'including', 'exons', 'of', 'the', 'DMD', 'gene']"
3891,"['Other', 'patients', 'with', 'similar', 'exon', 'deletions', ',', 'or', 'smaller', 'deletions', ',', 'show', 'the', 'more', 'severe', 'phenotype', 'typical', 'of', 'DMD']"
3892,"['We', 'conclude', 'from', 'these', 'studies', 'that', 'the', 'severity', 'of', 'the', 'clinical', 'phenotype', 'cannot', 'be', 'explained', 'on', 'the', 'basis', 'of', 'the', 'size', 'of', 'the', 'deletion']"
3893,"['We', 'discuss', 'this', 'in', 'the', 'context', 'of', 'candidate', 'gene', 'sequences']"
3894,"['Patterns', 'of', 'exon', 'deletions', 'in', 'Duchenne', 'and', 'Becker', 'muscular', 'dystrophy']"
3895,"['A', 'panel', 'of', 'patients', 'with', 'Duchenne', 'and', 'Becker', 'muscular', 'dystrophy', '(', 'DMD', 'and', 'BMD', ')', 'has', 'been', 'screened', 'with', 'the', 'cDNA', 'probes', 'Cf56a', 'and', 'Cf23a', ',', 'which', 'detect', 'exons', 'in', 'the', 'central', 'part', 'of', 'the', 'DMD', 'gene']"
3896,"['One', 'or', 'more', 'exons', 'were', 'deleted', 'in', '60', '%', 'of', 'patients']"
3897,"['The', 'deletions', 'were', 'mapped', 'and', 'prove', 'to', 'be', 'heterogeneous', 'in', 'size', 'and', 'extent', ',', 'particularly', 'in', 'DMD']"
3898,"['Deletions', 'specific', 'to', 'DMD', 'and', 'to', 'BMD', 'are', 'described']"
3899,"['Half', 'of', 'all', 'BMD', 'patients', 'have', 'a', 'deletion', 'of', 'one', 'particular', 'small', 'group', 'of', 'exons', ';', 'smaller', 'deletions', 'within', 'this', 'same', 'group', 'produce', 'the', 'more', 'severe', 'DMD']"
3900,[]
3901,"['Hereditary', 'deficiency', 'of', 'the', 'third', 'component', 'of', 'complement', 'in', 'a', 'child', 'with', 'fever', ',', 'skin', 'rash', ',', 'and', 'arthralgias', ':', 'response', 'to', 'transfusion', 'of', 'whole', 'blood.', 'A', 'previously', 'well', '34-month-old', 'male', 'presenting', 'with', 'fever', ',', 'skin', 'rash', ',', 'and', 'arthralgias', 'was', 'found', 'to', 'lack', 'C3', 'by', 'immunochemical', '(', 'undetectable', ')', 'and', 'hemolytic', '(', '1', '%', 'normal', ')', 'assays']"
3902,"['No', 'infectious', 'agent', 'could', 'be', 'demonstrated']"
3903,"['Protein', 'levels', 'of', 'Clq']"
3904,"['C4', ',', 'C5', ',', 'properdin', ',', 'and', 'C3b-INA', 'and', 'hemolytic', 'activities', 'of', 'complement', 'components', 'C1', 'to', 'C9', 'except', 'C3', 'were', 'normal', 'or', 'elevated', ';', 'total', 'hemolytic', 'complement', 'activity', 'was', '13', '%', 'of', 'normal', 'and', 'was', 'reconstituted', 'by', 'purified', 'C3']"
3905,"['Properdin', 'factor', 'B', 'was', '702', '(', 'normal', '175', 'to', '275', ')', 'mug', '/', 'ml', ',', 'and', 'was', 'not', 'cleaver', 'upon', 'addition', 'of', 'zymosan', 'or', 'cobra', 'venom', 'factor']"
3906,"['The', 'serum', 'had', 'normal', 'immune', 'adherence', 'activity', ',', 'but', 'was', 'deficient', 'in', 'ability', 'to', 'opsonize', 'Candida', 'albicans', 'for', 'uptake', 'and', 'Escherichia', 'coli', 'for', 'killing', 'by', 'neurophils', ',', 'generate', 'neutrophil', 'chemotactic', 'factors', 'and', 'inhibit', 'the', 'growth', 'of', 'E']"
3907,"['coli', ';', 'these', 'activities', 'were', 'restored', 'by', 'purified', 'C3']"
3908,"['A', 'transfusion', 'of', '320', 'ml', '1-hour-old', 'normal', 'whole', 'blood', 'on', 'the', 'fifty-second', 'day', 'resulted', 'in', 'transitory', 'elevation', 'of', 'the', 'C3', 'level', 'to', '25', 'mg', '/', 'dl', 'with', 'a', 'fall-off', '(', 'approximately', '2', '1', '/', '2', '%', 'per', 'hour', ')', 'to', 'undetectable', 'levels', 'by', '69', 'hours', ';', 'it', 'was', 'followed', 'by', 'disappearance', 'of', 'the', 'skin', 'rash', 'and', 'arthralgias', 'and', 'return', 'to', 'normal', 'of', 'the', 'previously', 'elevated', 'temperature', 'and', 'CRP', 'levels']"
3909,"['C3', 'levels', 'in', 'family', 'members', '(', 'seven', 'of', '24', 'half-normal', ')', ',', 'lack', 'of', 'anti-C3', 'activity', ',', 'normal', 'C3b-INA', 'levels', 'and', 'a', 'normal', 'rate', 'of', 'catabolism', 'of', 'transfused', 'C3', 'indicated', 'that', 'the', 'deficiency', 'was', 'inherited', 'with', 'autosomal', 'codominance', 'and', 'involved', 'decreased', 'synthesis', 'of', 'C3']"
3910,"['Thus', ',', 'this', 'child', 'is', 'a', 'unique', 'individual', 'with', 'inherited', 'C3', 'deficiency', 'presenting', 'with', 'absence', 'of', 'repeated', 'infections', ',', 'whose', 'symptoms', 'of', 'fever', ',', 'skin', 'rash', ',', 'and', 'arthralgia', 'were', 'abated', 'by', 'whole', 'blood', 'transfusion']"
3911,[]
3912,"['Glucose-6-phosphate', 'dehydrogenase', 'variants', 'and', 'their', 'frequency', 'in', 'Guangdong,', 'China.', 'Erythrocyte', 'glucose-6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'was', 'characterized', 'in', 'blood', 'samples', 'obtained', 'from', '97', 'randomly', 'selected', 'males', 'with', 'enzyme', 'deficiency', 'from', 'various', 'regions', 'of', 'Guangdong', 'Province', ',', 'China']"
3913,"['Nine', 'new', 'variants', '(', 'Gd', 'Kaiping', ',', 'Gd', 'Boluo', ',', 'Gd', 'Huiyang', ',', 'Gd', 'Gaomin', ',', 'Gd', 'Qing-Baijiang', ',', 'Gd', 'Gaozhou', ',', 'Gd', 'Huazhou', ',', 'Gd', 'Nanhai', ',', 'and', 'Gd', 'Guangzhou', ')', 'were', 'identified']"
3914,"['Of', 'the', '31', 'variants', 'found', 'in', 'this', 'province', ',', 'Gd', 'Kaiping', ',', 'Gd', 'Taiwan-Hakka', ',', 'Gd', 'Haad', 'Yai', ',', 'Gd', 'Haad', 'Yai-like', 'and', 'Gd', 'Huiyang', 'occurred', 'most', 'frequently']"
3915,"['The', 'frequency', 'of', 'each', 'variant', 'was', 'calculated']"
3916,"['The', 'results', 'demonstrated', 'that', 'the', 'genetic', 'heterogeneity', 'of', 'G6PD', 'deficiency', 'was', 'high', 'in', 'this', 'area']"
3917,[]
3918,"['Homozygous', 'and', 'heterozygous', 'deletions', 'of', 'the', 'von', 'Willebrand', 'factor', 'gene', 'in', 'patients', 'and', 'carriers', 'of', 'severe', 'von', 'Willebrand', 'disease']"
3919,"['Severe', 'von', 'Willebrand', 'disease', 'is', 'characterized', 'by', 'undetectable', 'or', 'trace', 'quantities', 'of', 'von', 'Willebrand', 'factor', 'in', 'plasma', 'and', 'tissue', 'stores']"
3920,"['We', 'have', 'studied', 'the', 'genomic', 'DNA', 'of', '10', 'affected', 'individuals', 'from', 'six', 'families', 'with', 'this', 'disorder', 'using', 'probes', 'from', 'the', '5', 'and', '3', 'ends', 'of', 'the', 'vWF', 'cDNA', 'and', 'with', 'a', 'probe', 'extending', 'from', 'the', '5', 'end', 'into', 'the', 'central', 'region']"
3921,"['Southern', 'blots', 'of', 'restriction', 'endonuclease', 'digests', 'and', 'gene', 'dosage', 'analysis', 'measurements', 'carried', 'out', 'with', 'quantitative', 'slot', 'blots', 'of', 'undigested', 'genomic', 'DNA', 'separated', 'these', 'patients', 'into', 'three', 'groups']"
